"","case_month","res_state","res_county","county_fips_code","cases","hosp_yes","hosp_no","hosp_missing","death_yes","death_no","death_missing","jhu_cases","jhu_deaths","CovidDeathCount","CovidContributingCount","county_name","new_hosp","death"
"480",2022-08-01,"NE","LINCOLN",31111,55,3,39,13,0,0,55,589,4,0,0,"Lincoln",30,0
"481",2022-08-01,"NE","MADISON",31119,386,13,2,371,0,0,386,694,0,2,2,"Madison",32,1
"482",2022-08-01,"NE","PLATTE",31141,379,4,371,4,0,0,379,616,0,0,0,"Platte",7,0
"483",2022-08-01,"NE","SARPY",31153,440,10,353,77,0,0,440,3087,13,1,2,"Sarpy",8,3
"484",2022-08-01,"NE","SAUNDERS",31155,81,1,23,57,0,0,81,204,0,0,0,"Saunders",0,0
"485",2022-08-01,"NE","SCOTTS BLUFF",31157,268,19,69,180,0,0,268,598,0,2,4,"Scotts Bluff",32,1
"486",2022-08-01,"NE","WASHINGTON",31177,102,0,33,69,0,0,102,326,0,1,1,"Washington",12,1
"487",2022-09-01,"NE","ADAMS",31001,1094,0,20,1074,0,0,1094,47,0,0,0,"Adams",12,0
"488",2022-09-01,"NE","BUFFALO",31019,141,0,45,96,0,0,141,84,-3,1,1,"Buffalo",26,0
"489",2022-09-01,"NE","CASS",31025,1651,1,33,1617,0,0,1651,94,0,0,0,NA,NA,NA
"490",2022-09-01,"NE","DAKOTA",31043,1081,1,71,1009,0,0,1081,50,0,0,0,NA,NA,NA
"491",2022-09-01,"NE","DAWSON",31047,51,1,16,34,0,0,51,16,-1,0,0,"Dawson",0,0
"492",2022-09-01,"NE","DODGE",31053,1516,0,49,1467,0,0,1516,128,0,2,2,"Dodge",0,2
"493",2022-09-01,"NE","DOUGLAS",31055,28700,12,1101,27587,15,0,28685,1385,0,13,25,"Douglas",254,9
"494",2022-09-01,"NE","GAGE",31067,385,1,3,381,0,0,385,15,0,0,0,"Gage",8,0
"495",2022-09-01,"NE","HALL",31079,3649,1,102,3546,0,237,3412,120,0,1,2,"Hall",26,1
"496",2022-09-01,"NE","LANCASTER",31109,2102,10,579,1513,0,0,2102,896,0,4,5,"Lancaster",78,4
"497",2022-09-01,"NE","LINCOLN",31111,2107,0,42,2065,0,0,2107,136,0,0,0,"Lincoln",16,0
"498",2022-09-01,"NE","MADISON",31119,2238,5,4,2229,0,0,2238,112,-1,1,2,"Madison",11,0
"499",2022-09-01,"NE","PLATTE",31141,186,5,88,93,0,0,186,116,0,0,0,"Platte",0,0
"500",2022-09-01,"NE","SARPY",31153,14255,9,355,13891,0,0,14255,430,1,2,6,"Sarpy",7,4
"501",2022-09-01,"NE","SAUNDERS",31155,581,0,20,561,0,0,581,51,0,0,0,"Saunders",0,0
